Date,Filename,Original Size (B),Optimized To (B),Savings (%)
8/23/2014 2:12:35 AM,Content/Templates/41192/site/images/content-tail.gif,1656,455,72.5
8/23/2014 2:12:35 AM,Content/Templates/41192/site/images/carousel-prev.gif,1310,117,91.1
8/23/2014 2:12:35 AM,Content/Templates/41192/site/images/carousel-next.gif,1304,72,94.5
8/23/2014 2:12:35 AM,Content/Templates/41192/site/images/body-tail.gif,2653,1454,45.2
8/23/2014 2:12:36 AM,Content/Templates/41184/site/images/tail-title6.gif,1467,268,81.7
8/23/2014 2:12:36 AM,Content/Templates/41184/site/images/tail-title5.gif,1399,268,80.8
8/23/2014 2:12:36 AM,Content/Templates/41184/site/images/tail-title4.gif,1171,39,96.7
8/23/2014 2:12:36 AM,Content/Templates/41184/site/images/tail-title3.gif,1463,264,82
8/23/2014 2:12:36 AM,Content/Templates/41184/site/images/tail-title2.gif,1467,268,81.7
8/23/2014 2:12:36 AM,Content/Templates/41184/site/images/tail-title1.gif,1470,271,81.6
8/23/2014 2:12:36 AM,Content/Templates/41184/site/images/tail-row-nav.gif,1401,270,80.7
8/23/2014 2:12:36 AM,Content/Templates/41184/site/images/tail-item7.gif,1408,277,80.3
8/23/2014 2:12:36 AM,Content/Templates/41184/site/images/tail-item6.gif,1411,280,80.2
8/23/2014 2:12:36 AM,Content/Templates/41184/site/images/tail-item5.gif,1411,280,80.2
8/23/2014 2:12:37 AM,Content/Templates/41184/site/images/tail-item4.gif,1413,282,80
8/23/2014 2:12:37 AM,Content/Templates/41184/site/images/tail-item3.gif,1408,277,80.3
8/23/2014 2:12:37 AM,Content/Templates/41184/site/images/tail-item2.gif,1402,271,80.7
8/23/2014 2:12:37 AM,Content/Templates/41184/site/images/tail-header.gif,1197,66,94.5
8/23/2014 2:12:37 AM,Content/Templates/41184/site/images/tail-btn4.gif,1213,155,87.2
8/23/2014 2:12:37 AM,Content/Templates/41184/site/images/tail-btn3.gif,1216,158,87
8/23/2014 2:12:37 AM,Content/Templates/41184/site/images/tail-btn2.gif,1215,157,87.1
8/23/2014 2:12:37 AM,Content/Templates/41184/site/images/tail-btn1.gif,1317,259,80.3
8/23/2014 2:12:38 AM,Content/Templates/41184/site/images/tail-btn-reg.gif,1208,150,87.6
8/23/2014 2:12:38 AM,Content/Templates/41184/site/images/tail-btn-login.gif,1207,149,87.7
8/23/2014 2:12:38 AM,Content/Templates/41184/site/images/item-1.gif,1408,277,80.3
8/23/2014 2:12:38 AM,Content/Templates/41184/site/images/img9.gif,1562,363,76.8
